사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자,합계
202501,공항철도 1호선,인천공항2터미널,0,0,4535,7906,6640,13490,8701,19767,10570,19710,9145,11444,6252,10544,7947,15887,8352,17915,8842,12744,14719,11329,18646,10686,19670,10954,23670,12070,24651,6693,14602,3854,14849,3591,13961,2585,14515,1875,4350,1866,32,2419,11,13,0,17,0,0,20250203,432019
202501,공항철도 1호선,청라국제도시,144,1,7003,232,15641,5178,28580,6600,18421,15184,11441,4780,9522,3276,11235,3586,10573,4246,9127,5416,8171,6221,8727,7359,10522,10234,13962,13821,17297,22427,5487,21939,3678,14402,3018,13556,2135,14566,1051,8615,161,3814,2,15,0,0,0,0,20250203,381366
202501,공항철도 1호선,홍대입구,276,12,5084,454,5446,3744,9189,9223,12117,22697,11146,26050,12297,21848,14346,27803,16687,35211,18925,35474,22853,31027,28217,30530,34360,31672,40555,33294,45309,37277,36546,24826,34969,14212,38364,11832,32893,10336,14988,7947,1309,2562,15,48,0,6,0,0,20250203,853976
202501,과천선,경마공원,1,0,283,498,948,2372,1612,3603,2054,9948,2115,27198,2250,32333,2741,18255,3270,16644,4773,13888,6518,8633,11104,5019,17086,3231,27465,2114,57657,1961,7327,1634,1606,1038,583,786,286,784,162,465,7,87,0,0,0,0,0,0,20250203,300339
202501,과천선,과천,9,1,2497,376,8920,1906,22149,4364,21549,7307,14788,5443,12218,4390,11371,5224,11265,6262,11178,6538,10014,7995,9803,9597,9634,11822,9325,14538,8395,20216,4311,17338,3050,11358,2050,10669,1407,10151,546,5829,101,1221,0,0,0,0,0,0,20250203,337125
202501,과천선,대공원,0,0,91,248,275,2242,517,3415,775,9246,1370,12837,1382,13239,2868,7933,5887,6791,5862,6935,6788,5562,7603,3171,10176,2143,12621,1575,9838,1177,4787,835,3373,424,1664,302,284,286,110,157,9,31,0,0,0,0,0,0,20250203,154829
202501,과천선,범계,103,4,8222,2938,34550,10372,84468,21146,69177,51722,39500,40826,32427,29968,34367,28492,38573,31462,37831,37548,37378,36576,40813,40748,45796,47508,48963,61860,55700,95265,35514,76910,36659,39852,27820,33919,24674,30079,11035,16849,1124,5401,0,0,0,0,0,0,20250203,1484139
202501,과천선,선바위,0,0,665,1174,4368,7741,12093,18401,14211,21478,10809,12406,8862,6406,8603,5923,8806,6237,9267,6324,9112,5903,10348,6755,13895,8239,21534,10245,25115,12716,11019,9963,7375,6937,5078,6313,2980,5412,996,3351,85,611,0,0,0,0,0,0,20250203,347756
202501,과천선,인덕원,94,5,7621,2900,26713,14701,67211,40384,60508,88436,39359,34816,32285,20396,31133,20919,33352,22139,32906,25892,30964,26581,33844,30681,39819,37018,58467,49190,77194,76200,29907,64113,24316,35311,21827,33302,14325,30028,5713,19101,536,5406,0,1,0,0,0,0,20250203,1345614
202501,과천선,정부과천청사,14,3,1830,1165,7292,11731,20275,33515,18163,86140,13691,24199,11676,12032,13131,11602,14705,13441,16511,14167,17025,15062,19191,14725,27520,15720,40924,18567,60183,24563,18382,19920,14275,11725,13266,10306,7012,8513,2129,4984,207,1207,0,0,0,0,0,0,20250203,690689
